Date,Open,High,Low,Close,Adj Close,Volume
2016-01-19,185.500000,194.500000,185.000000,186.000000,180.331314,68477
2016-01-20,185.500000,185.500000,176.500000,179.000000,173.544662,84635
2016-01-21,179.000000,193.000000,177.000000,193.000000,187.117996,113122
2016-01-22,200.000000,213.000000,200.000000,203.050003,196.861694,130649
2016-01-25,202.000000,208.500000,195.000000,207.500000,201.176056,71844
2016-01-26,206.500000,215.000000,205.000000,211.000000,204.569397,128736
2016-01-27,213.000000,219.000000,210.000000,217.000000,210.386536,78975
2016-01-28,220.000000,230.000000,220.000000,225.000000,218.142731,227493
2016-01-29,229.250000,235.000000,225.050003,235.000000,227.837936,88850
2016-02-01,232.500000,235.000000,225.000000,235.000000,227.837936,76669
2016-02-02,230.000000,231.000000,225.000000,229.000000,222.020828,64685
2016-02-03,230.000000,236.000000,226.000000,232.500000,225.414139,81381
2016-02-04,235.000000,247.000000,233.500000,245.500000,238.017960,180177
2016-02-05,248.000000,249.000000,239.100006,240.500000,233.170349,99415
2016-02-10,230.000000,237.000000,223.000000,235.000000,227.837936,71576
2016-02-11,221.000000,232.000000,221.000000,229.000000,222.020828,62160
2016-02-12,235.000000,244.500000,233.000000,243.500000,236.078903,76876
2016-02-15,243.500000,251.500000,243.500000,250.500000,242.865555,41572
2016-02-16,253.000000,253.000000,243.500000,251.000000,243.350311,59575
2016-02-17,252.100006,271.000000,252.100006,265.750000,257.650818,152794
2016-02-18,271.049988,277.899994,264.000000,268.000000,259.832214,127889
2016-02-19,265.000000,266.000000,257.250000,265.000000,256.923645,100401
2016-02-22,272.500000,286.000000,271.250000,285.000000,276.314117,121712
2016-02-23,285.000000,285.000000,278.000000,281.750000,273.163147,50232
2016-02-24,279.000000,291.000000,268.000000,290.000000,281.161743,97685
2016-02-25,290.000000,295.000000,286.000000,295.000000,286.009369,182786
2016-02-26,297.000000,300.000000,290.000000,291.000000,282.131256,200279
2016-02-29,291.000000,300.000000,284.000000,288.000000,279.222687,102102
2016-03-01,288.000000,295.000000,284.450012,285.500000,276.798859,75648
2016-03-02,281.000000,294.000000,276.000000,293.500000,284.555084,70130
2016-03-03,290.000000,298.000000,285.000000,286.000000,277.283630,104015
2016-03-04,283.000000,289.000000,280.000000,282.000000,273.405548,63006
2016-03-07,281.000000,284.399994,280.000000,280.500000,271.951263,70016
2016-03-08,281.000000,285.000000,278.000000,284.500000,275.829346,22226
2016-03-09,284.500000,286.000000,275.000000,275.200012,266.812805,50733
2016-03-10,272.000000,280.000000,265.000000,266.000000,257.893188,92834
2016-03-11,268.100006,268.149994,256.000000,257.000000,249.167465,85959
2016-03-14,254.899994,257.000000,250.000000,250.000000,242.380798,49247
2016-03-15,246.500000,246.500000,240.000000,240.000000,232.685577,36914
2016-03-16,242.000000,245.000000,240.500000,244.500000,237.048431,45199
2016-03-17,247.100006,260.000000,247.100006,255.000000,247.228424,87336
2016-03-18,260.000000,262.000000,255.000000,258.100006,250.233948,65005
2016-03-21,263.000000,265.000000,252.000000,262.000000,254.015106,116601
2016-03-22,261.750000,263.399994,259.500000,262.000000,254.015106,17895
2016-03-23,259.000000,260.500000,254.000000,257.000000,249.167465,37320
2016-03-28,257.000000,261.000000,252.500000,260.899994,252.948593,26862
2016-03-29,259.500000,262.000000,257.000000,260.000000,252.076035,73902
2016-03-30,261.100006,265.000000,255.100006,255.500000,247.713165,32974
2016-03-31,258.250000,263.899994,258.250000,262.500000,254.499832,105935
2016-04-01,260.500000,261.000000,256.000000,261.000000,253.045563,41510
2016-04-04,260.899994,262.000000,250.000000,251.699997,244.028992,41306
2016-04-05,251.000000,253.800003,246.000000,246.000000,238.502716,25701
2016-04-06,249.000000,251.949997,244.000000,244.750000,237.290817,55286
2016-04-07,243.000000,244.000000,236.149994,238.500000,231.231293,38781
2016-04-08,241.000000,248.000000,241.000000,242.500000,235.109375,50219
2016-04-11,245.300003,249.000000,245.300003,247.199997,239.666153,33852
2016-04-12,249.000000,261.500000,249.000000,261.000000,253.045563,47785
2016-04-13,262.000000,265.899994,257.000000,265.799988,257.699249,100556
2016-04-14,267.000000,269.500000,265.000000,269.000000,260.801727,39587
2016-04-15,263.000000,271.000000,263.000000,265.500000,257.408386,27836
2016-04-18,263.250000,270.500000,258.000000,270.500000,262.256042,43986
2016-04-19,271.049988,288.500000,271.049988,288.000000,279.222687,154976
2016-04-20,290.000000,298.500000,288.000000,296.000000,286.978851,120037
2016-04-21,295.750000,297.000000,289.049988,292.000000,283.100739,53569
2016-04-22,292.000000,297.500000,287.000000,290.500000,281.646484,52902
2016-04-25,289.000000,289.000000,275.000000,276.899994,268.460968,60457
2016-04-26,276.500000,285.700012,276.500000,282.750000,274.132690,39882
2016-04-27,286.000000,290.000000,283.000000,286.500000,277.768402,67624
2016-04-28,287.000000,288.000000,283.000000,284.000000,275.344604,58889
2016-04-29,285.000000,289.399994,285.000000,289.350006,280.531525,42040
2016-05-02,288.950012,288.950012,282.149994,283.500000,274.859833,25239
2016-05-03,282.000000,282.000000,272.000000,275.899994,267.491455,25721
